,,,,,,,,,,
,,,,,,,,,,
,ID,Title,INPUT,Expected result,Status,requirement clause,,,,
,10,Вставить валидные данные из буфера обмена в поле Name ,"Name: Vladimir
Surname: Ivanov
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,PASS,,,,,
,11,"Ввести валидные данные используя спецсимволы точку ""."" и пробел "" "" в конце слова.","Name: Vladimir. 
Surname: Ivanov
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir. Ivanov,PASS,,,,,
,12,"Вести данные со спецсимволом пробел
 "" ""
 внутри слова  в поле  Name","Name: Vlad imir 
Surname: Ivanov
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir. Ivanov,PASS,,,,,
,13,"Вести данные в поле Name используя спецсимвол точка ""."" два раз подряд в конце","Name: Vladimir..
Surname: Ivanov
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung","Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",FAIL,Bug_2,,,,
,14,"Вести данные используя спецсимвол пробел "" "" два раза подряд внутри слова,  в поле Name","Name: Vlad  imir 
Surname: Ivanov
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung","Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",FAIL,Bug_3,,,,
,15,Ввести данные используя кириллицу в поле Name,"Name: Владимир 
Surname: Ivanov
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung","Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",FAIL,Bug_4,,,,
,,,,,,,,,,
,,Граничные значения,,,,,?,,,
,16,Оставить поле Name пустым,"Name:
Surname: Ivanov
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung","Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",PASS,,,,,
,17,Вести один знак в поле Name,"Name:V
Surname: Ivanov
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung","Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",PASS,,,,,
,18,Вести три знака в поле Name,"Name:Vla
Surname: Ivanov
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung","Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",PASS,,,,,
,19,Ввести четыре знака в поле Name,"Name:Vlad
Surname: Ivanov
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung","Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",FAIL,Bug_6,,,,
,20,Ввести пять знаков в поле Name,"Name:Vasya
Surname: Ivanov
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vasya Ivanov,PASS,,,,,
,21,Ввести шесть знаков в поле Name,"Name:Vasyan
Surname: Ivanov
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vasyan Ivanov,PASS,,,,,
,22,Ввести 69 знаков в поле Name,"Name: Vasyaneohvbhjbvkdjfhbhjbvkdjfhbhjbvkdjfhbhjbvkdjfhbhjbvkdjfhbhjbvkdjfh
Surname: Ivanov
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vasyan Ivanov,FAIL,Bug_7,,,,
,23,Ввести 127 знаков в поле Name,"Name: VasyanqVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfh
Surname: Ivanov
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vasyan Ivanov,FAIL,Bug_8,,,,
,24,Ввести 128 знаков в поле Name,"Name:VasyanqVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhi
Surname: Ivanov
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vasyan Ivanov,FAIL,Bug_9,,,,
,25,Ввести 129 знаков в поле Name,"Name:VasyanqVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhiq
Surname: Ivanov
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung","Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",PASS,,,,,
,26,Ввести 155 знаков в поле Name,"Name:VasyanqVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhiqtvurfhdksawrytbvciofdsaloi
Surname: Ivanov
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung","Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",PASS,,,,,
,,,,,,,,,,
,"Поле Surname
Ввести данные в поле Surname * -(в остальные поля формы ввести валидные данные)",,,,,,,,,
,27,Ввести валидные данные используя латиницу и цифры в поле Surname,"Name: Vladimir
Surname: Ivanov019
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov019,PASS,,,,,
,28,"Ввести валидные данные используя спецсимвол пробел ""."" в начале и в конце слова в поле Surname","Name: Vladimir
Surname: .Ivanov.
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir .Ivanov.,PASS,,,,,
,29,"Ввести валидные данные используя два спецсимвола точка ""."" в начале и в конце слова, в поле Surname","Name: Vladimir
Surname: ..Ivanov019..
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung","Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",FAIL,Bug,,,,
,30,"Ввести валидные данные используя спецсимвол пробел "" "" в серелине слова, в поле Surname","Name: Vladimir
Surname: Iva nov
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Iva nov,PASS,,,,,
,31,"Ввести валидные данные используя два спецсимвола пробел "" "" в серелине слова, в поле Surname","Name: Vladimir
Surname: Iva  nov
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung","Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",FAIL,Bug,,,,
,32,"Ввести валидные данные используя спецсимвол пробел "" "" в начале и в конце слова, в поле Surname","Name: Vladimir
Surname:  Ivanov 
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,PASS,,,,,
,33,"Ввести валидные данные используя два спецсимвола пробел "" "" в начале и в конце слова, в поле Surname","Name: Vladimir
Surname:   Ivanov  
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,PASS,,,,,
,34,Ввести валидные данные в поле Surname только в нижнем регистре,"Name: Vladimir
Surname: ivanov
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir ivanov,PASS,,,,,
,35,Ввести валидные данные в поле Surname только в верхнем регистре,"Name: Vladimir
Surname: IVANOV
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir IVANOV,PASS,,,,,
,36,Ввести данные используя кириллицу в поле Surname,"Name: Vladimir
Surname: Иванов
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung","Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",FAIL,Bug,,,,
,37,Вставить валидные данные из буфера обмена в поле Surname,"Name: Vladimir
Surname:  Ivanov 
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,PASS,,,,,
,,,,,,,,,,
,Граничные значения,,,,,,,,,
,,,,,,,,,,
,38,Оставить поле Surname пустым,"Name: Vladimir
Surname: 
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir,FAIL,,,,,
,39,Вести один знак в поле Surname,"Name: Vladimir
Surname: I
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung","Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",FAIL,,,,,
,40,Вести три знака в поле Surname,"Name: Vladimir
Surname: Iva
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung","Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",FAIL,,,,,
,41,Ввести четыре знака в поле Surname,"Name: Vladimir
Surname: Ivan
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung","Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",FAIL,,,,,
,42,Ввести пять знаков в поле Surname,"Name: Vladimir
Surname: Ivano
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vasya Ivanov,PASS,,,,,
,43,Ввести шесть знаков в поле Surname,"Name: Vladimir
Surname: Ivanov
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vasyan Ivanov,PASS,,,,,
,44,Ввести 69 знаков в поле Name,"Name: Vladimir
Surname: Ivanovkneohvbhjbvkdjfhjbvkdjfhbhjbvkdjfhbhjbvkdjfhbhjbvkdjfhbhjbvkdjfh
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanovkneohvbhjbvkdjfhbhjbvkdjfhbhjbvkdjfhbhjbvkdjfhbhjbvkdjfhbhjbvkdjfh,PASS,,,,,
,45,Ввести 127 знаков в поле Name,"Name: Vladimir
Surname: IvanovqVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfh
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir IvanovqVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfh,PASS,,,,,
,46,Ввести 128 знаков в поле Name,"Name: Vladimir
Surname: IvanovVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhi
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung","Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir IvanovVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhi
",PASS,,,,,
,47,Ввести 129 знаков в поле Name,"Name: Vladimir
Surname: IvanovqVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhiq
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung","Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",FAIL,,,,,
,48,Ввести 155 знаков в поле Name,"Name: Vladimir
Surname: IvanovqVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhVasyaneohvbhjbvkdjfhiqtvur
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung","Пользователь не зарегестрирован. Под формой регистрации сообщение:
Error: Error: All Fields are Required",FAIL,,,,,
,"Поле E-mail
Ввести данные в поле E-mail * -(в остальные поля формы ввести валидные данные)",,,,,,,,,
,,,,,,,,,,
,"До знака ""@""",,,,,,,,,
,49,Ввести валидные данные в верхнем регистре в поле Email,"Name: Vladimir
Surname: Ivanov
Email: VASYAIVANOV@spaceweb.com
Password: Ka5@tewung",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,PASS,,,,,
,50,Ввести валидные данные в нижнем регистре в поле Email,"Name: Vladimir
Surname: Ivanov
Email: vasyaivanov@spaceweb.com
Password: Ka5@tewung",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,PASS,,,,,
,51,Ввести валидные данные используя буквы и цыфры в поле Email,"Name: Vladimir
Surname: Ivanov
Email: vasyaivanov135@spaceweb.com
Password: Ka5@tewung",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,PASS,,,,,
,52,"ввести валидные данные используя спецсимвол точка ""."" в поле Email","Name: Vladimir
Surname: Ivanov
Email: vasya.ivanov@spaceweb.com
Password: Ka5@tewung",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,PASS,,,,,
,53,"ввести валидные данные используя спецсимвол тире ""-"" в поле Email","Name: Vladimir
Surname: Ivanov
Email: vasya-ivanov@spaceweb.com
Password: Ka5@tewung",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,PASS,,,,,
,54,"ввести валидные данные используя спецсимвол точка ""."" два раза подряд в поле Email","Name: Vladimir
Surname: Ivanov
Email: vasya..ivanov@spaceweb.com
Password: Ka5@tewung","Пользователь не зарегестрирован.
Под формой регистрации сообщение:
Error: Error: All Fields are Required",FAIL,,,,,
,55,"ввести валидные данные используя спецсимвол тире ""-"" два раза подряд в поле Email","Name: Vladimir
Surname: Ivanov
Email: vasya--ivanov@spaceweb.com
Password: Ka5@tewung","Пользователь не зарегестрирован.
Под формой регистрации сообщение:
Error: Error: All Fields are Required",FAIL,,,,,
,56,"ввести валидные данные не используя спецсимвол ""@"" в поле Email","Name: Vladimir
Surname: Ivanov
Email: vasyaivanovspaceweb.com
Password: Ka5@tewung","Пользователь не зарегестрирован.
Под формой регистрации сообщение:
Error: Error: All Fields are Required",FAIL,,,,,
,57,"ввести валидные данные используя спецсимвол ""@"" два раз подряд в поле Email","Name: Vladimir
Surname: Ivanov
Email: vasyaivanov@@spaceweb.com
Password: Ka5@tewung","Пользователь не зарегестрирован.
Под формой регистрации сообщение:
Error: Error: All Fields are Required",FAIL,,,,,
,58,ввести валидные данные используя кириллицу в поле Email,"Name: Vladimir
Surname: Ivanov
Email: Васяиванов@spaceweb.com
Password: Ka5@tewung","Пользователь не зарегестрирован.
Под формой регистрации сообщение:
Error: Error: All Fields are Required",FAIL,,,,,
,59,"ввести валидные данные используя спецсимвол пробел "" "" в начале слова в поле Email","Name: Vladimir
Surname: Ivanov
Email:  vasyaivanov@spaceweb.com
Password: Ka5@tewung",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,PASS,,,,,
,60,"ввести валидные данные используя спецсимвол пробел "" "" в середине слова в поле Email","Name: Vladimir
Surname: Ivanov
Email: vasya ivanov@spaceweb.com
Password: Ka5@tewung","Пользователь не зарегестрирован.
Под формой регистрации сообщение:
Error: Error: All Fields are Required",FAIL,,,,,
,61,Вставить валидные данные из буфера обмена в поле Email,"Name: Vladimir
Surname: Ivanov
Email: vasyaivanov@spaceweb.com
Password: Ka5@tewung",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,PASS,,,,,
,Граничные значения,,,,,,,,,
,,,,,,,,,,
,62,Не вводить данные в поле Email,"Name: Vladimir
Surname: Ivanov
Email: @spaceweb.com
Password: Ka5@tewung","Пользователь не зарегестрирован.
Под формой регистрации сообщение:
Error: Error: All Fields are Required",FAIL,,,,,
,63,Вести один знак в поле Email,"Name: Vladimir
Surname: Ivanov
Email:v@spaceweb.com
Password: Ka5@tewung","Пользователь не зарегестрирован.
Под формой регистрации сообщение:
Error: Error: All Fields are Required",FAIL,,,,,
,64,ввести три знака в поле Email,"Name: Vladimir
Surname: Ivanov
Email: nov@spaceweb.com
Password: Ka5@tewung","Пользователь не зарегестрирован.
Под формой регистрации сообщение:
Error: Error: All Fields are Required",FAIL,,,,,
,65,ввести четыре знака в поле Email,"Name: Vladimir
Surname: Ivanov
Email: anov@spaceweb.com
Password: Ka5@tewung","Пользователь не зарегестрирован.
Под формой регистрации сообщение:
Error: Error: All Fields are Required",FAIL,,,,,
,66,ввести пять знаков в поле Email,"Name: Vladimir
Surname: Ivanov
Email: vanov@spaceweb.com
Password: Ka5@tewung",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,PASS,,,,,
,67,ввести шесть знаков в поле Email,"Name: Vladimir
Surname: Ivanov
Email: ivanov@spaceweb.com
Password: Ka5@tewung",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,PASS,,,,,
,68,ввести 47 знаков в поле Email,"Name: Vladimir
Surname: Ivanov
Email:frewivanovfrewivanovfrewivanovyuhjnbcfrewivanov@spaceweb.com
Password: Ka5@tewung",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,PASS,,,,,
,69,ввести 48 знаков в поле Email,"Name: Vladimir
Surname: Ivanov
Email:sfrewivanovfrewivanovfrewivanovyuhjnbcfrewivanov@spaceweb.com
Password: Ka5@tewung",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,PASS,,,,,
,70,ввести 49 знаков в поле Email,"Name: Vladimir
Surname: Ivanov
Email:uyfrewivanovfrewivanovfrewivanovyuhjnbcfrewivanov@spaceweb.com
Password: Ka5@tewung","Пользователь не зарегестрирован.
Под формой регистрации сообщение:
Error: Error: All Fields are Required",FAIL,,,,,
,71,ввести 70 знаков в поле Email,"Name: Vladimir
Surname: Ivanov
Email:fkitopkjuybvc47f8ds32uyfrewivanovfrewivanovfrewivanovyuhjnbcfrewivanov@spaceweb.com
Password: Ka5@tewung","Пользователь не зарегестрирован.
Под формой регистрации сообщение:
Error: Error: All Fields are Required",FAIL,,,,,
,"от знака ""@"" до последней точки",,,,,,,,,
,72,Ввести валидные данные в нижнем регистре в поле Email,"Name: Vladimir
Surname: Ivanov
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,PASS,,,,,
,73,Ввести валидные данные в верхнем регистре в поле Email,"Name: Vladimir
Surname: Ivanov
Email: Vasyaivanov@SPACEWEB.com
Password: Ka5@tewung",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,PASS,,,,,
,74,Ввести валидные данные используя буквы и цыфры в поле Email,"Name: Vladimir
Surname: Ivanov
Email: Vasyaivanov@spaceweb853.com
Password: Ka5@tewung",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,PASS,,,,,
,75,ввести валидные данные используя кириллицу в поле Email,"Name: Vladimir
Surname: Ivanov
Email: Vasyaivanov@спейсвеб.com
Password: Ka5@tewung","Пользователь не зарегестрирован.
Под формой регистрации сообщение:
Error: Error: All Fields are Required",FAIL,,,,,
,76,"ввести валидные данные используя спецсимвол пробел "" "" в середине слова в поле Email","Name: Vladimir
Surname: Ivanov
Email: vasyaivanov@spac eweb.com
Password: Ka5@tewung","Пользователь не зарегестрирован.
Под формой регистрации сообщение:
Error: Error: All Fields are Required",FAIL,,,,,
,77,"ввести валидные данные используя спецсимвол точка ""."" в поле Email","Name: Vladimir
Surname: Ivanov
Email: vasyaivanov@space.web.com
Password: Ka5@tewung",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,PASS,,,,,
,78,"ввести валидные данные используя спецсимвол тире ""-"" в поле Email","Name: Vladimir
Surname: Ivanov
Email: vasyaivanov@space-web.com
Password: Ka5@tewung",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,PASS,,,,,
,79,"ввести валидные данные используя спецсимвол точка ""."" два раза подряд в поле Email","Name: Vladimir
Surname: Ivanov
Email: vasyaivanov@space..web.com
Password: Ka5@tewung","Пользователь не зарегестрирован.
Под формой регистрации сообщение:
Error: Error: All Fields are Required",FAIL,,,,,
,80,"ввести валидные данные используя спецсимвол тире ""-"" два раза подряд в поле Email","Name: Vladimir
Surname: Ivanov
Email: vasyaivanov@space--web.com
Password: Ka5@tewung","Пользователь не зарегестрирован.
Под формой регистрации сообщение:
Error: Error: All Fields are Required",FAIL,,,,,
,Граничные значения,,,,,,,,,
,81,Не вводить данные в поле Email,"Name: Vladimir
Surname: Ivanov
Email: vasyaivanov@.com
Password: Ka5@tewung","Пользователь не зарегестрирован.
Под формой регистрации сообщение:
Error: Error: All Fields are Required",FAIL,,,,,
,82,Вести один знак в поле Email,"Name: Vladimir
Surname: Ivanov
Email:  vasyaivanov@b.com
Password: Ka5@tewung","Пользователь не зарегестрирован.
Под формой регистрации сообщение:
Error: Error: All Fields are Required",FAIL,,,,,
,83,ввести два знака в поле Email,"Name: Vladimir
Surname: Ivanov
Email: vasyaivanov@eb.com
Password: Ka5@tewung",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,PASS,,,,,
,84,ввести три знака в поле Email,"Name: Vladimir
Surname: Ivanov
Email: vasyaivanov@web.com
Password: Ka5@tewung",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,PASS,,,,,
,85,ввести 16 знаков в поле Email,"Name: Vladimir
Surname: Ivanov
Email:vasyaivanov@traturbospaceweb.com
Password: Ka5@tewung",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,PASS,,,,,
,86,ввести 31 знак в поле Email,"Name: Vladimir
Surname: Ivanov
Email:vasyaivanov@ttraturbospaceweraturbospaceweb.com
Password: Ka5@tewung",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,PASS,,,,,
,87,ввести 32 знака в поле Email,"Name: Vladimir
Surname: Ivanov
Email:vasyaivanov@traturbospacewebtraturbospaceweb.com
Password: Ka5@tewung",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,PASS,,,,,
,88,ввести 33 знака в поле Email,"Name: Vladimir
Surname: Ivanov
Email:vasyaivanov@traturbospacewebjtraturbospaceweb.com
Password: Ka5@tewung","Пользователь не зарегестрирован.
Под формой регистрации сообщение:
Error: Error: All Fields are Required",FAIL,,,,,
,89,ввести 50 знаков в поле Email,"Name: Vladimir
Surname: Ivanov
Email:vasyaivanov@traturbospacewebjtraturbospaceweb.com
Password: Ka5@tewung","Пользователь не зарегестрирован.
Под формой регистрации сообщение:
Error: Error: All Fields are Required",FAIL,,,,,
,От последней точки до конца,,,,,,,,,
,90,Ввести валидные данные используя буквы и цыфры в поле Email,"Name: Vladimir
Surname: Ivanov
Email: vasyaivanov@spaceweb.com83
Password: Ka5@tewung","Пользователь не зарегестрирован.
Под формой регистрации сообщение:
Error: Error: All Fields are Required",FAIL,,,,,
,91,ввести валидные данные используя кириллицу в поле Email,"Name: Vladimir
Surname: Ivanov
Email: vasyaivanov@spaceweb.ком
Password: Ka5@tewung","Пользователь не зарегестрирован.
Под формой регистрации сообщение:
Error: Error: All Fields are Required",FAIL,,,,,
,92,Ввести валидные данные в верхнем регистре в поле Email,"Name: Vladimir
Surname: Ivanov
Email: vasyaivanov@spaceweb.COM
Password: Ka5@tewung",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,PASS,,,,,
